GS_A_ID	GS_B_ID	ALL	GS_A_SIZE	GS_B_SIZE	OLAP	SIMILARITY	NLOGPMF	CDF	NLOGCDF
GEX070403	GEX071222	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX079080	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX090015	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX103713	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX096578	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX070403	GEX110926	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX070403	GEX071776	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX070403	GEX087011	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX070403	GEX114416	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX070403	GEX080414	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX070403	GEX119631	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX070403	GEX096449	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX070403	GEX099362	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX070403	GEX083388	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX092300	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX070403	GEX099517	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX070403	GEX122138	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX070403	GEX101489	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX070403	GEX107724	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX070403	GEX110415	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX121734	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX093626	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX070403	GEX113038	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX117058	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX070403	GEX078223	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX070403	GEX104469	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX070403	GEX086477	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX070403	GEX104027	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX108874	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX090246	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX070403	GEX083907	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX070403	GEX118398	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX070403	GEX106689	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX070403	GEX122211	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX070403	GEX118554	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX070403	GEX123309	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX092596	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX070403	GEX093996	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX070403	GEX099228	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX070403	GEX071513	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX070403	GEX112560	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX078023	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX087888	GEX091206	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX088086	GEX117414	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX088086	GEX116689	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX094731	GEX119068	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX094731	GEX114743	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX106689	GEX121181	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX106689	GEX110926	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX106689	GEX114416	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX106689	GEX119631	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
