GS_ID_A,GS_ID_B,overlap,szymkiewicz_simpson,jaccard,npmi,size_a,size_b,union,composite
GEX039983,GEX078223,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX104469,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX086477,5,1.0,0.5555556,0.93764776,5,9,9,0.9111111
GEX039983,GEX066701,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX039983,GEX091468,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX039983,GEX098360,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX039983,GEX098502,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX039983,GEX045997,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX039983,GEX043449,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX039983,GEX104027,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX073850,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX039983,GEX091747,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX039983,GEX104262,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX039983,GEX065859,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX108874,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX090246,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX039983,GEX083907,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX101743,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX039983,GEX106641,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX039983,GEX118398,5,1.0,1.0,1.0,5,5,5,1.0
GEX039983,GEX106689,5,1.0,1.0,1.0,5,5,5,1.0
GEX039983,GEX045443,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX039983,GEX122211,5,1.0,1.0,1.0,5,5,5,1.0
GEX039983,GEX118554,5,1.0,1.0,1.0,5,5,5,1.0
GEX039983,GEX123309,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX092596,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX093996,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX039983,GEX099228,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX066776,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX071513,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX122815,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX039983,GEX087591,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX039983,GEX122121,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX039983,GEX056705,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX112560,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX077466,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX039983,GEX084079,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX039983,GEX078023,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX045720,GEX050777,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX045720,GEX122086,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX047101,GEX092822,5,1.0,1.0,1.0,5,5,5,1.0
GEX049574,GEX119068,5,1.0,0.5,0.9264711,5,10,10,0.90000004
