gs_id,gnn_cluster,structlite_cluster
GEX023786,6,0
GEX023787,1,9
GEX023798,0,7
GEX023799,6,9
GEX023805,4,3
GEX023809,9,2
GEX023844,9,3
GEX023883,5,3
GEX023884,7,5
GEX023921,5,3
GEX023931,4,3
GEX023960,5,1
GEX023974,2,6
GEX024020,3,3
GEX024041,8,1
GEX024046,1,0
GEX024057,7,2
GEX024058,6,2
GEX024091,6,3
GEX024127,4,7
GEX024128,6,0
GEX024130,4,7
GEX024134,0,7
GEX024145,8,1
GEX024182,5,4
GEX024283,9,7
GEX024290,5,7
GEX024300,1,5
GEX024301,9,2
GEX024453,0,7
GEX024454,6,2
GEX024473,0,3
GEX024512,5,1
GEX024585,5,4
GEX024617,4,7
GEX024618,7,5
GEX024641,3,7
GEX024675,9,7
GEX024713,1,9
GEX024714,5,9
GEX024765,2,6
GEX024782,0,7
GEX024833,5,7
GEX024834,9,3
GEX024869,5,1
GEX024888,1,0
GEX024910,2,1
GEX025061,1,2
GEX025072,8,4
GEX025085,6,9
GEX025087,8,1
GEX025140,2,6
GEX025141,5,1
GEX025187,9,7
GEX025194,5,9
GEX025195,0,7
GEX025199,7,5
GEX025206,3,2
GEX025207,9,2
GEX025215,1,9
GEX025260,0,3
GEX025274,0,3
GEX025443,2,4
GEX025444,2,4
GEX025446,9,3
GEX025503,1,0
GEX025504,1,5
GEX025513,0,7
GEX025570,6,4
GEX025571,4,4
GEX025603,4,7
GEX025604,4,3
GEX025617,1,0
GEX025656,7,5
GEX025709,3,7
GEX025710,0,7
GEX025725,5,3
GEX025784,9,5
GEX025843,2,6
GEX025844,5,1
GEX025945,4,3
GEX026021,0,7
GEX026088,8,1
GEX026108,2,6
GEX026127,8,1
GEX026218,1,3
GEX026254,5,2
GEX026268,7,2
GEX026310,3,7
GEX026311,1,2
GEX026318,1,0
GEX026319,3,7
GEX026326,0,7
GEX026375,3,2
GEX026376,6,2
GEX026413,6,4
GEX026458,6,9
GEX026485,1,5
GEX026542,6,2
GEX026551,0,7
GEX026601,3,3
GEX026606,3,7
GEX026631,4,3
GEX026636,8,1
GEX026662,4,3
GEX026686,9,0
GEX026702,2,4
GEX026706,9,4
GEX026738,0,7
GEX026739,6,9
GEX026844,9,2
GEX026845,9,2
GEX026876,9,7
GEX026918,5,3
GEX026959,1,0
GEX026975,3,7
GEX026977,8,1
GEX026986,9,3
GEX026987,1,0
GEX026990,1,2
GEX027055,9,3
GEX027120,8,1
GEX027135,5,3
GEX027136,6,0
GEX027185,5,0
GEX027193,1,0
GEX027194,1,4
GEX027215,8,1
GEX027252,7,4
GEX027295,0,4
GEX027298,5,1
GEX027400,3,3
GEX027403,2,6
GEX027420,6,3
GEX027422,4,3
GEX027464,5,0
GEX027465,3,3
GEX027486,2,5
GEX027487,6,0
GEX027519,4,3
GEX027594,3,7
GEX027595,4,7
GEX027610,2,5
GEX027611,7,5
GEX027669,9,4
GEX027741,9,2
GEX027742,9,2
GEX027834,9,4
GEX027835,7,4
GEX027969,9,3
GEX027983,5,3
GEX027984,4,0
GEX028176,3,3
GEX028264,0,2
GEX028279,3,3
GEX028303,6,4
GEX028304,7,4
GEX028334,6,0
GEX028351,1,0
GEX028352,5,7
GEX028358,2,1
GEX028425,3,4
GEX028441,5,4
GEX028455,8,1
GEX028514,9,3
GEX028517,4,3
GEX028534,3,7
GEX028559,9,3
GEX028580,9,3
GEX028598,7,2
GEX028631,9,3
GEX028686,9,3
GEX028692,1,2
GEX028700,3,4
GEX028727,1,2
GEX028735,2,4
GEX028736,7,4
GEX028778,5,0
GEX028844,3,7
GEX028890,7,9
GEX028896,8,4
GEX028921,5,7
GEX028922,1,9
GEX028941,0,3
GEX028950,0,7
GEX028960,9,2
GEX028961,0,7
GEX029075,1,2
GEX029076,6,7
GEX029154,8,1
GEX029159,8,6
GEX029166,1,0
GEX029180,4,4
GEX029183,4,7
GEX029188,7,5
GEX029194,4,3
GEX029236,3,3
GEX029301,5,1
GEX029305,7,9
GEX029439,6,3
GEX029506,0,2
GEX029512,4,3
GEX029637,3,3
GEX029664,1,5
GEX029731,3,7
GEX029732,1,5
GEX029756,7,5
GEX029770,4,7
GEX029796,9,4
GEX029797,1,4
GEX029835,9,3
GEX029836,5,4
GEX029885,6,4
GEX029971,5,9
GEX030043,0,7
GEX030044,4,7
GEX030083,9,9
GEX030179,3,7
GEX030300,4,3
GEX030312,5,9
GEX030318,7,5
GEX030514,3,2
GEX030515,6,2
GEX030521,0,3
GEX030530,6,0
GEX030531,4,7
GEX030555,6,9
GEX030557,6,2
GEX030585,8,1
GEX030659,4,3
GEX030687,7,4
GEX030688,6,0
GEX030689,7,9
GEX030695,2,4
GEX030699,0,3
GEX030774,3,7
GEX030838,6,0
GEX030890,0,3
GEX030891,1,0
GEX030931,8,4
GEX030932,7,4
