group_id,gs_id,degree_centrality,betweenness_centrality,closeness_centrality
A0,GEX103720,1.0,1.59676347865762e-06,1.0
A0,GEX103796,1.0,1.59676347865762e-06,1.0
A0,GEX104234,0.9978401727861772,1.4945557177537586e-06,0.9978448275862069
A0,GEX104488,1.0,1.59676347865762e-06,1.0
A0,GEX104667,1.0,1.59676347865762e-06,1.0
A0,GEX104689,1.0,1.59676347865762e-06,1.0
A0,GEX104798,0.9978401727861772,1.3687617443635686e-06,0.9978448275862069
A0,GEX105612,1.0,1.59676347865762e-06,1.0
A0,GEX105818,0.9978401727861772,1.576525596929177e-06,0.9978448275862069
A0,GEX106348,1.0,1.59676347865762e-06,1.0
A0,GEX106696,1.0,1.59676347865762e-06,1.0
A0,GEX106793,1.0,1.59676347865762e-06,1.0
A0,GEX106879,1.0,1.59676347865762e-06,1.0
A0,GEX107856,1.0,1.59676347865762e-06,1.0
A0,GEX107868,1.0,1.59676347865762e-06,1.0
A0,GEX108232,1.0,1.59676347865762e-06,1.0
A0,GEX108290,1.0,1.59676347865762e-06,1.0
A0,GEX108308,0.9978401727861772,1.3687617443635686e-06,0.9978448275862069
A0,GEX108560,1.0,1.59676347865762e-06,1.0
A0,GEX108704,1.0,1.59676347865762e-06,1.0
A0,GEX108727,1.0,1.59676347865762e-06,1.0
A0,GEX109123,1.0,1.59676347865762e-06,1.0
A0,GEX109535,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX109567,1.0,1.59676347865762e-06,1.0
A0,GEX109627,1.0,1.59676347865762e-06,1.0
A0,GEX109688,1.0,1.59676347865762e-06,1.0
A0,GEX110018,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX110041,1.0,1.59676347865762e-06,1.0
A0,GEX110341,1.0,1.59676347865762e-06,1.0
A0,GEX110711,1.0,1.59676347865762e-06,1.0
A0,GEX111260,1.0,1.59676347865762e-06,1.0
A0,GEX111541,1.0,1.59676347865762e-06,1.0
A0,GEX111842,1.0,1.59676347865762e-06,1.0
A0,GEX112368,1.0,1.59676347865762e-06,1.0
A0,GEX113188,1.0,1.59676347865762e-06,1.0
A0,GEX113419,1.0,1.59676347865762e-06,1.0
A0,GEX113420,1.0,1.59676347865762e-06,1.0
A0,GEX114367,1.0,1.59676347865762e-06,1.0
A0,GEX114820,1.0,1.59676347865762e-06,1.0
A0,GEX115158,1.0,1.59676347865762e-06,1.0
A0,GEX115325,0.9956803455723543,1.3076512779678785e-06,0.9956989247311828
A0,GEX115475,1.0,1.59676347865762e-06,1.0
A0,GEX115750,1.0,1.59676347865762e-06,1.0
A0,GEX116084,1.0,1.59676347865762e-06,1.0
A0,GEX116668,1.0,1.59676347865762e-06,1.0
A0,GEX117081,1.0,1.59676347865762e-06,1.0
A0,GEX117220,1.0,1.59676347865762e-06,1.0
A0,GEX117537,1.0,1.59676347865762e-06,1.0
