group_id,source,target,edge_type,disease_ids,disease_names,pathway_ids,pathway_names,source_db,min_pval,disease_count,go_terms,go_count,overlap_count,similarity,neg_log_pval,shared_pmid_count,shared_pmids
A0,GEX068656,GEX118891,gene_overlap,,,,,,,,,,1246.0,0.7019426202221348,1.0224737862114582e-37,,
A0,GEX069019,GEX099992,gene_overlap,,,,,,,,,,1237.0,0.7019572261204798,0.0510491796733243,,
A0,GEX069136,GEX117921,gene_overlap,,,,,,,,,,19.0,0.4763636363636363,0.016840851173166,,
A0,GEX070590,GEX100923,gene_overlap,,,,,,,,,,1888.0,0.9428739577924742,1.028992278262935,,
A0,GEX070782,GEX100023,gene_overlap,,,,,,,,,,1284.0,0.7180091936057462,7.050981536096962e-44,,
A0,GEX071572,GEX118919,gene_overlap,,,,,,,,,,1547.0,0.864682537237091,4.6336396500350485,,
A0,GEX071988,GEX113188,gene_overlap,,,,,,,,,,1437.0,0.7991366065564882,1.0336378769003088e-57,,
A0,GEX072898,GEX092174,gene_overlap,,,,,,,,,,92.0,0.7973333333333333,2.4159344013542525e-13,,
A0,GEX073048,GEX103430,gene_overlap,,,,,,,,,,971.0,0.665582724817386,1.722916255431103e-14,,
A0,GEX076633,GEX079485,gene_overlap,,,,,,,,,,403.0,1.0,2.6328741008182988,,
A0,GEX076781,GEX108560,gene_overlap,,,,,,,,,,683.0,1.0,7.5970168663188815,,
A0,GEX077804,GEX107856,gene_overlap,,,,,,,,,,1179.0,0.7604249855270385,9.148343859106088e-62,,
A0,GEX079251,GEX084199,gene_overlap,,,,,,,,,,1926.0,0.9629632007336926,18.346137263183618,,
A0,GEX079842,GEX094351,gene_overlap,,,,,,,,,,841.0,0.5660063492063492,0.0296007124348899,,
A0,GEX079906,GEX110711,gene_overlap,,,,,,,,,,1782.0,1.0,52.664078958681785,,
A0,GEX080095,GEX085021,gene_overlap,,,,,,,,,,96.0,0.7088567465821279,1.0835039342864347e-10,,
A0,GEX080233,GEX117647,gene_overlap,,,,,,,,,,1183.0,0.6654174962698234,0.0064631789169614,,
A0,GEX080729,GEX083184,gene_overlap,,,,,,,,,,995.0,0.5801261700045568,4.982504572481002e-05,,
A0,GEX080729,GEX095229,gene_overlap,,,,,,,,,,1235.0,0.6613506570153969,3.044654592261857e-14,,
A0,GEX081212,GEX100147,gene_overlap,,,,,,,,,,1160.0,0.6352551900251862,9.034990120969351e-10,,
A0,GEX081655,GEX117220,gene_overlap,,,,,,,,,,110.0,1.0,0.1952290932102474,,
A0,GEX082764,GEX117081,gene_overlap,,,,,,,,,,1208.0,0.7488048763473056,3.779043821458943e-09,,
A0,GEX083184,GEX095229,gene_overlap,,,,,,,,,,963.0,0.7252332609981189,1.6578735326146815e-28,,
A0,GEX084158,GEX096876,gene_overlap,,,,,,,,,,986.0,0.9959636730575177,15.992939939256756,,
A0,GEX084449,GEX121932,gene_overlap,,,,,,,,,,1209.0,0.6795368757259002,3.460784564801071e-19,,
A0,GEX085334,GEX092174,gene_overlap,,,,,,,,,,92.0,0.7023098591549296,1.2459277776536544e-12,,
A0,GEX085787,GEX122501,gene_overlap,,,,,,,,,,1280.0,0.7911954492024836,8.030907683189426e-60,,
A0,GEX086416,GEX087613,gene_overlap,,,,,,,,,,1215.0,0.703633683825194,3.831812906701209e-31,,
A0,GEX086491,GEX100282,gene_overlap,,,,,,,,,,960.0,0.6456326048434731,0.004854806223086,,
A0,GEX087649,GEX121646,gene_overlap,,,,,,,,,,1066.0,0.6497725666778751,1.2062147313786182,,
A0,GEX088538,GEX119866,gene_overlap,,,,,,,,,,1608.0,0.774275979821739,6.877277559679874e-40,,
A0,GEX090307,GEX117081,gene_overlap,,,,,,,,,,1192.0,0.7089161695245644,2.0460388023332582e-14,,
A0,GEX090330,GEX091883,gene_overlap,,,,,,,,,,1119.0,0.6483339870865379,1.4894604930701572,,
A0,GEX090899,GEX109535,gene_overlap,,,,,,,,,,841.0,0.599517235305127,3.4783778790447254e-05,,
A0,GEX092107,GEX093289,gene_overlap,,,,,,,,,,1125.0,0.6953892668178382,4.321068765688258e-18,,
A0,GEX092174,GEX093017,gene_overlap,,,,,,,,,,72.0,0.7133333333333333,1.0636576850510496e-14,,
A0,GEX092979,GEX122501,gene_overlap,,,,,,,,,,1175.0,0.743831125439465,3.3433536384079454e-57,,
A0,GEX093250,GEX101237,gene_overlap,,,,,,,,,,1187.0,0.7302838373547883,5.0578457960172245e-11,,
