threshold,embedding_file,gs_id,cluster
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000635,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000636,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000638,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000639,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000641,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000646,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000648,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000650,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000655,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000656,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000659,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000666,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000679,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000681,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000682,2
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000683,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000687,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000688,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000698,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000703,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000704,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000710,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000711,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000712,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000724,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000730,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000732,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000733,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000742,2
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000743,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000745,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000755,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000758,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000764,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000773,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000775,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000793,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000794,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000798,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000807,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000809,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000811,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000814,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000815,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000816,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000820,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000822,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000825,2
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000833,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000851,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000857,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000859,1
