threshold,cluster,cluster_nodes,cluster_genes,universe_genes,tested_terms,term_id,term_name,term_description,k_overlap,n_cluster_genes,m_term_genes,M_universe_genes,p_value,q_value,enrichment_ratio
080,5,3593,55201,60887,124019,GEX011322,GSE254479-5-vs-1-human dn,"Dn genes in mcf 10a cells egf c75 3h biol rep cell line breast epithelial wt 9h plus vs mcf 10a cells egf dmso 6h biol rep cell line breast epithelial wt 9h plus (GSE254479, human)",2000,55201,2000,60887,2.1944662430597016e-87,2.9802787455948224e-84,1.1030053803373125
080,5,3593,55201,60887,124019,GEX015081,GSE247506-5-vs-4-human up,"Up genes in vein blood con peripheral mononuclear cell group control vs vein blood crao peripheral mononuclear cell group v (GSE247506, human)",2000,55201,2000,60887,2.1944662430597016e-87,2.9802787455948224e-84,1.1030053803373125
080,5,3593,55201,60887,124019,GEX020735,"GSE188111,GSE188123-5-vs-3-human up","Up genes comparing Group 5 vs Group 3 (GSE188123, human)",2000,55201,2000,60887,2.1944662430597016e-87,2.9802787455948224e-84,1.1030053803373125
080,5,3593,55201,60887,124019,GEX022390,"GSE246886,GSE246889-2-vs-4-human dn","Dn genes comparing Group 2 vs Group 4 (GSE246889, human)",2000,55201,2000,60887,2.1944662430597016e-87,2.9802787455948224e-84,1.1030053803373125
080,5,3593,55201,60887,124019,GEX026030,GSE249721-5-vs-12-human up,"Up genes in pc9 ct 24h lung adenocarcinoma cell line epithelial subcloned yes dmso vs h4006 erlo 24h 1 lung adenocarcinoma cell line hcc4006 epithelial subcloned yes erlotinib um (GSE249721, human)",2000,55201,2000,60887,2.1944662430597016e-87,2.9802787455948224e-84,1.1030053803373125
080,5,3593,55201,60887,124019,GEX026581,GSE160542-4-vs-3-human dn,"Dn genes in ctrl 4h cell line bci ns1.1 culture air liquid interphase day 26 untreated bronchus vs ho53 24h cell line bci ns1.1 culture air liquid interphase day 26 75 um bronchus (GSE160542, human)",2000,55201,2000,60887,2.1944662430597016e-87,2.9802787455948224e-84,1.1030053803373125
080,5,3593,55201,60887,124019,GEX027898,GSE216570-3-vs-2-human up,"Up genes in hela input dataset 2 cell line (atcc ccl 2) human cervix cancer wild type sirna based knockdown ythdf1 ythdf3 rescue vs hek input dataset 2 cell line hek293t (atcc crl 3216) human embryo kidney wild type sirna based knockdown ythdf1 ythdf3 rescue (GSE216570, human)",2000,55201,2000,60887,2.1944662430597016e-87,2.9802787455948224e-84,1.1030053803373125
080,5,3593,55201,60887,124019,GEX007633,GSE243230-4-vs-2-human dn,"Dn genes in mock 24h cell line t84 human colon carcinoma wt none vs ifnl 6h cell line t84 human colon carcinoma wt 100ng/ml infl1 3 (GSE243230, human)",1999,55201,1999,60887,2.429001318019985e-87,2.9802787455948224e-84,1.1030053803373128
080,6,917,43556,60887,124019,GEX003060,"GSE226525,GSE226527-0-vs-8-human dn","Dn genes comparing Group 0 vs Group 8 (GSE226527, human)",2000,43556,2000,60887,1.659043453813006e-297,5.925567688026143e-293,1.3979015520249793
080,6,917,43556,60887,124019,GEX015081,GSE247506-5-vs-4-human up,"Up genes in vein blood con peripheral mononuclear cell group control vs vein blood crao peripheral mononuclear cell group v (GSE247506, human)",2000,43556,2000,60887,1.659043453813006e-297,5.925567688026143e-293,1.3979015520249793
080,6,917,43556,60887,124019,GEX008754,GSE241874-1-vs-2-human dn,"Dn genes in rna seq ttc 549 cis acbi1 cell line rhabdoid tumor 250 nm vs rna seq a204 acbi1 cell line rhabdoid tumor 250 nm (GSE241874, human)",1998,43556,1998,60887,3.3313473563865494e-297,5.925567688026143e-293,1.3979015520249793
080,6,917,43556,60887,124019,GEX001183,"GSE209632,GSE209820-3-vs-5-human dn","Dn genes comparing Group 3 vs Group 5 (GSE209820, human)",1997,43556,1997,60887,4.720591107043118e-297,5.925567688026143e-293,1.3979015520249796
080,6,917,43556,60887,124019,GEX046816,"GSE223405,GSE223406-9-vs-7-human dn","Dn genes comparing Group 9 vs Group 7 (GSE223406, human)",1997,43556,1997,60887,4.720591107043118e-297,5.925567688026143e-293,1.3979015520249796
080,6,917,43556,60887,124019,GEX079889,"GSE122791,GSE122794-3-vs-4-human up","Up genes comparing Group 3 vs Group 4 (GSE122794, human)",1997,43556,1997,60887,4.720591107043118e-297,5.925567688026143e-293,1.3979015520249796
