threshold,cluster,term_id,representative_term_id,is_redundant,max_jaccard_to_kept,max_overlap_coeff_to_kept
080,8,GEX009431,GEX009431,0,0.09083469721767594,0.16658329164582292
080,8,GEX010974,GEX010974,0,0.13708759954493743,0.24112056028014006
080,8,GEX015081,GEX015081,0,0.12834978843441466,0.2275
080,8,GEX022390,GEX022390,0,0.18378218407812963,0.3105
080,8,GEX026030,GEX026030,0,0.047394605917779525,0.0905
080,8,GEX026581,GEX026581,0,0.1293054771315641,0.229
080,8,GEX027898,GEX027898,0,0.07613666935700834,0.1415
080,8,GEX031138,GEX031138,0,0.24,0.3871935967983992
080,9,GEX000042,GEX000042,0,0.0,0.0
080,9,GEX003060,GEX003060,0,0.04275286757038582,0.082
080,9,GEX007633,GEX007633,0,0.08994276369582993,0.16508254127063532
080,9,GEX015081,GEX015081,0,0.12834978843441466,0.2275
080,9,GEX019954,GEX019954,0,0.20828295042321646,0.34484484484484484
080,9,GEX022223,GEX022223,0,0.06752068321323726,0.1265
080,9,GEX026581,GEX026581,0,0.1293054771315641,0.229
080,9,GEX027898,GEX027898,0,0.063264221158958,0.119
080,9,GEX031138,GEX031138,0,0.23349784083898828,0.37868934467233617
080,9,GEX035567,GEX035567,0,0.07442235357334766,0.13856928464232116
085,0,GEX001183,GEX001183,0,0.0,0.0
085,0,GEX015925,GEX015925,0,0.1308411214953271,0.23146292585170342
085,0,GEX018119,GEX018119,0,0.10987482614742698,0.19809428284854563
085,0,GEX028692,GEX028692,0,0.19312406576980568,0.3239719157472417
085,0,GEX046816,GEX046816,0,0.11006114508060033,0.19829744616925388
085,0,GEX055292,GEX055292,0,0.2907503234152652,0.4506265664160401
085,0,GEX059024,GEX059024,0,0.07514139509830325,0.13984962406015036
085,0,GEX070944,GEX070944,0,0.169302870533099,0.2895791583166333
085,0,GEX086552,GEX086552,0,0.12920554141928187,0.22884326489734602
085,0,GEX098040,GEX098040,0,0.1550028918449971,0.2684026039058588
085,1,GEX000436,GEX000436,0,0.0,0.0
085,1,GEX000520,GEX000520,0,0.0370260663507109,0.07322788517867604
085,1,GEX002429,GEX002429,0,0.057161207450224794,0.11882510013351134
085,1,GEX002909,GEX002909,0,0.059749437841310635,0.11683417085427136
085,1,GEX003089,GEX003089,0,0.1318717277486911,0.2690253671562083
085,1,GEX003156,GEX003156,0,0.09641255605381166,0.18907035175879397
085,1,GEX003219,GEX003219,0,0.10174418604651163,0.1913613996719519
085,1,GEX003523,GEX003523,0,0.08956547443097843,0.17565217391304347
085,1,GEX005175,GEX005175,0,0.2695035460992908,0.42621015348288077
085,1,GEX005227,GEX005227,0,0.0893949694085656,0.17690253671562084
085,2,GEX000544,GEX000544,0,0.04902897166507482,0.10377358490566038
085,2,GEX039917,GEX039917,0,0.03504823151125402,0.08740978348035285
